event_at,removed,observed,censored,entrance,at_risk,Name,hazard,Smooth Haz,Smooth2 Haz
1,15,14,1,0,329,SR Tendulkar,0.0425531914893617,0.025060904732859934,0.02482557059145346
2,11,11,0,0,314,SR Tendulkar,0.03503184713375796,0.02529506944611423,0.024736105823495145
3,5,5,0,0,303,SR Tendulkar,0.0165016501650165,0.023594301895572326,0.024537588042613773
4,2,2,0,0,298,SR Tendulkar,0.006711409395973154,0.023390045767888494,0.024332731055329373
5,7,7,0,0,296,SR Tendulkar,0.02364864864864865,0.02407355212370283,0.0242110319984776
6,6,6,0,0,289,SR Tendulkar,0.020761245674740483,0.0239165274975469,0.024131530767757176
7,6,6,0,0,283,SR Tendulkar,0.02120141342756184,0.02482497182704386,0.024016863360264457
8,8,8,0,0,277,SR Tendulkar,0.02888086642599278,0.02647675228489991,0.02389491561900908
9,12,12,0,0,269,SR Tendulkar,0.04460966542750929,0.026393790335916326,0.023713339684413522
10,6,5,1,0,257,SR Tendulkar,0.019455252918287938,0.02534745707369302,0.023365894513412564
11,7,6,1,0,251,SR Tendulkar,0.02390438247011952,0.02364762648248505,0.022992893174695134
12,4,3,1,0,244,SR Tendulkar,0.012295081967213115,0.022621952499170272,0.022557549567818205
13,6,6,0,0,240,SR Tendulkar,0.025,0.022584469526496277,0.022177661643747605
14,9,8,1,0,234,SR Tendulkar,0.03418803418803419,0.0225126897468602,0.021804450390565364
15,5,4,1,0,225,SR Tendulkar,0.017777777777777778,0.02240600411385878,0.021350623165660467
16,10,9,1,0,220,SR Tendulkar,0.04090909090909091,0.02189487138134118,0.020855814472941672
17,9,8,1,0,210,SR Tendulkar,0.0380952380952381,0.0210730386840364,0.020285367731362303
18,3,3,0,0,201,SR Tendulkar,0.014925373134328358,0.020144359138256768,0.01957538972512995
19,3,3,0,0,198,SR Tendulkar,0.015151515151515152,0.01869361119709599,0.018918371376415305
20,2,2,0,0,195,SR Tendulkar,0.010256410256410256,0.01797387929722869,0.018349319354176438
21,3,3,0,0,193,SR Tendulkar,0.015544041450777202,0.017023540915452627,0.01787979436757588
22,3,3,0,0,190,SR Tendulkar,0.015789473684210527,0.016376431338230885,0.01744070156311751
23,2,1,1,0,187,SR Tendulkar,0.0053475935828877,0.016299031957425925,0.01705807328969625
24,4,4,0,0,185,SR Tendulkar,0.021621621621621623,0.015450834850509734,0.016766250911323607
25,2,2,0,0,181,SR Tendulkar,0.011049723756906077,0.01451516233588985,0.016462441222640505
26,1,1,0,0,179,SR Tendulkar,0.00558659217877095,0.013986483737035815,0.016197871628500123
27,2,2,0,0,178,SR Tendulkar,0.011235955056179775,0.012987170166485235,0.0160047044181993
28,3,3,0,0,176,SR Tendulkar,0.017045454545454544,0.013910441710338083,0.015851629929346307
29,2,1,1,0,173,SR Tendulkar,0.005780346820809248,0.014535468651154498,0.01572769326968057
30,1,1,0,0,171,SR Tendulkar,0.005847953216374269,0.014726651737074424,0.015670667196935318
31,0,0,0,0,0,SR Tendulkar,0.0,0.014279189214461243,0.015647459617368385
32,4,4,0,0,170,SR Tendulkar,0.023529411764705882,0.015314532331492343,0.01570409693416446
33,4,3,1,0,166,SR Tendulkar,0.018072289156626505,0.016968064557779983,0.015722907485905484
34,0,0,0,0,0,SR Tendulkar,0.0,0.01663362002887985,0.015759773528355562
35,5,5,0,0,162,SR Tendulkar,0.030864197530864196,0.01686804909267386,0.015916913264486535
36,3,3,0,0,157,SR Tendulkar,0.01910828025477707,0.01740286168832081,0.016065409817491775
37,6,5,1,0,154,SR Tendulkar,0.032467532467532464,0.017235943850049888,0.016289118018304245
38,4,4,0,0,148,SR Tendulkar,0.02702702702702703,0.01633881466344702,0.016426072471150816
39,2,2,0,0,144,SR Tendulkar,0.013888888888888888,0.016890383915068953,0.016481645402172652
40,1,1,0,0,142,SR Tendulkar,0.007042253521126761,0.016582596903680833,0.016515576699794796
41,5,5,0,0,141,SR Tendulkar,0.03546099290780142,0.017452540357356345,0.016553551029019495
42,5,5,0,0,136,SR Tendulkar,0.03676470588235294,0.0166564324405054,0.016465961395466456
43,2,2,0,0,131,SR Tendulkar,0.015267175572519083,0.016151289657061182,0.016189502459470703
44,2,2,0,0,129,SR Tendulkar,0.015503875968992248,0.01750081732237832,0.01597145701509984
45,3,2,1,0,127,SR Tendulkar,0.015748031496062992,0.016807918244135352,0.01578379884737847
46,1,1,0,0,124,SR Tendulkar,0.008064516129032258,0.017237625981922206,0.015553838261537948
47,0,0,0,0,0,SR Tendulkar,0.0,0.016512576314422957,0.015369895124844794
48,2,2,0,0,123,SR Tendulkar,0.016260162601626018,0.015591354340569404,0.015263609787416092
49,0,0,0,0,0,SR Tendulkar,0.0,0.01537134639189513,0.015083252487709151
50,2,2,0,0,121,SR Tendulkar,0.01652892561983471,0.015000701469730563,0.01494987320552987
51,1,1,0,0,119,SR Tendulkar,0.008403361344537815,0.013650329293984567,0.014787169986709847
52,1,1,0,0,118,SR Tendulkar,0.00847457627118644,0.011715344773860728,0.014674929210962376
53,4,3,1,0,117,SR Tendulkar,0.02564102564102564,0.012490756585833407,0.01456579961697184
54,3,2,1,0,113,SR Tendulkar,0.017699115044247787,0.013302543905967834,0.014379035016530997
55,3,3,0,0,110,SR Tendulkar,0.02727272727272727,0.013033610557350856,0.014179710769116104
56,2,2,0,0,107,SR Tendulkar,0.018691588785046728,0.013741024252880003,0.013948176963581672
57,2,1,1,0,105,SR Tendulkar,0.009523809523809525,0.014319393252301634,0.01380437091636053
58,1,1,0,0,103,SR Tendulkar,0.009708737864077669,0.01346359522063711,0.013682668492351044
59,0,0,0,0,0,SR Tendulkar,0.0,0.014048390542274537,0.013650844452566036
60,1,1,0,0,102,SR Tendulkar,0.00980392156862745,0.014361179199775843,0.013638528040263375
61,1,0,1,0,101,SR Tendulkar,0.0,0.014523857701303494,0.013706574632136303
62,3,3,0,0,100,SR Tendulkar,0.03,0.014077827371241051,0.013950331397275216
63,3,3,0,0,97,SR Tendulkar,0.030927835051546393,0.013952289914002247,0.014108120865210539
64,1,1,0,0,94,SR Tendulkar,0.010638297872340425,0.013020757543252362,0.014175985387868269
