,Name,Span,Mat,Inns,Runs,HS,Ave,50,100
0,SR Tendulkar,1989-2013,200,329,15921,248*,53.78,68,51
0,RT Ponting,1995-2012,168,287,13378,257,51.85,62,41
0,JH Kallis,1995-2013,166,280,13289,224,55.37,58,45
0,R Dravid,1996-2012,164,286,13288,270,52.31,63,36
0,AN Cook,2006-2018,161,291,12472,294,45.35,57,33
0,KC Sangakkara,2000-2015,134,233,12400,319,57.4,52,38
0,BC Lara,1990-2006,131,232,11953,400*,52.88,48,34
0,S Chanderpaul,1994-2015,164,280,11867,203*,51.37,66,30
0,DPMD Jayawardene,1997-2014,149,252,11814,374,49.84,50,34
0,AR Border,1978-1994,156,265,11174,205,50.56,63,27
0,SR Waugh,1985-2004,168,260,10927,200,51.06,50,32
0,SM Gavaskar,1971-1987,125,214,10122,236*,51.12,45,34
0,Younis Khan,2000-2017,118,213,10099,313,52.05,33,34
0,HM Amla,2004-2019,124,215,9282,311*,46.64,41,28
0,GC Smith,2002-2014,117,205,9265,277,48.25,38,27
0,GA Gooch,1975-1995,118,215,8900,333,42.58,46,20
0,Javed Miandad,1976-1993,124,189,8832,280*,52.57,43,23
0,Inzamam-ul-Haq,1992-2007,120,200,8830,329,49.6,46,25
0,VVS Laxman,1996-2012,134,225,8781,281,45.97,56,17
0,AB de Villiers,2004-2018,114,191,8765,278*,50.66,46,22
0,MJ Clarke,2004-2015,115,198,8643,329*,49.1,27,28
0,ML Hayden,1994-2009,103,184,8625,380,50.73,29,30
0,V Sehwag,2001-2013,104,180,8586,319,49.34,32,23
0,IVA Richards,1974-1991,121,182,8540,291,50.23,45,24
0,JE Root,2012-2021,100,182,8467,254,50.39,49,20
0,AJ Stewart,1990-2003,133,235,8463,190,39.54,45,15
0,DI Gower,1978-1992,117,204,8231,215,44.25,39,18
0,KP Pietersen,2005-2014,104,181,8181,227,47.28,35,23
0,G Boycott,1964-1982,108,193,8114,246*,47.72,42,22
0,GS Sobers,1954-1974,93,160,8032,365*,57.78,30,26
0,ME Waugh,1991-2002,128,209,8029,153*,41.81,47,20
0,MA Atherton,1989-2001,115,212,7728,185*,37.69,46,16
0,IR Bell,2004-2015,118,205,7727,235,42.69,46,22
0,JL Langer,1993-2007,105,182,7696,250,45.27,30,23
0,MC Cowdrey,1954-1975,114,188,7624,182,44.06,38,22
0,CG Greenidge,1974-1991,108,185,7558,226,44.72,34,19
0,SPD Smith,2010-2021,77,139,7540,239,61.8,31,27
0,Mohammad Yousuf,1998-2010,90,156,7530,223,52.29,33,24
0,MA Taylor,1989-1999,104,186,7525,334*,43.49,40,19
0,CH Lloyd,1966-1985,110,175,7515,242*,46.67,39,19
0,DL Haynes,1978-1994,116,202,7487,184,42.29,39,18
0,DC Boon,1984-1996,107,190,7422,200,43.65,32,21
0,LRPL Taylor,2007-2021,105,183,7379,290,45.83,34,19
0,V Kohli,2011-2021,88,147,7318,254*,53.41,23,27
0,DA Warner,2011-2021,86,159,7311,335*,48.09,30,24
0,G Kirsten,1993-2004,101,176,7289,275,45.27,34,21
0,WR Hammond,1927-1947,85,140,7249,336*,58.45,24,22
0,CH Gayle,2000-2014,103,182,7214,333,42.18,37,15
0,SC Ganguly,1996-2008,113,188,7212,239,42.17,35,16
0,SP Fleming,1994-2008,111,189,7172,274*,40.06,46,9
0,KS Williamson,2010-2021,83,144,7115,251,54.31,32,24
0,GS Chappell,1970-1984,87,151,7110,247*,53.86,31,24
0,AJ Strauss,2004-2012,100,178,7037,177,40.91,27,21
0,DG Bradman,1928-1948,52,80,6996,334,99.94,13,29
0,ST Jayasuriya,1991-2007,110,188,6973,340,40.07,31,14
0,L Hutton,1937-1955,79,138,6971,364,56.67,33,19
0,DB Vengsarkar,1976-1992,116,185,6868,166,42.13,35,17
0,KF Barrington,1955-1968,82,131,6806,256,58.67,35,20
0,GP Thorpe,1993-2005,100,179,6744,200*,44.66,39,16
0,BB McCullum,2004-2016,101,176,6453,302,38.64,31,12
0,Azhar Ali,2010-2021,85,160,6417,302*,42.78,33,17
0,PA de Silva,1984-2002,93,159,6361,267,42.97,22,20
0,MEK Hussey,2005-2013,79,137,6235,195,51.52,29,19
0,RB Kanhai,1957-1974,79,137,6227,256,47.53,28,15
0,M Azharuddin,1984-2000,99,147,6215,199,45.03,21,22
0,AD Mathews,2009-2021,88,158,6194,200*,45.54,36,11
0,HH Gibbs,1996-2008,90,154,6167,228,41.95,26,14
0,RN Harvey,1948-1963,79,137,6149,205,48.41,24,21
0,CA Pujara,2010-2021,82,136,6111,206*,47.74,28,18
0,GR Viswanath,1969-1983,91,155,6080,222,41.93,35,14
0,RB Richardson,1983-1995,86,146,5949,194,44.39,27,16
0,RR Sarwan,2000-2011,87,154,5842,291,40.01,31,15
0,ME Trescothick,2000-2006,76,143,5825,219,43.79,29,14
0,DCS Compton,1937-1957,78,131,5807,278,50.06,28,17
0,Saleem Malik,1982-1999,103,154,5768,237,43.69,29,15
0,N Hussain,1990-2004,96,171,5764,207,37.18,33,14
0,CL Hooper,1987-2002,102,173,5762,233,36.46,27,13
0,MP Vaughan,1999-2008,82,147,5719,197,41.44,18,18
0,AC Gilchrist,1999-2008,96,137,5570,204*,47.6,26,17
0,MV Boucher,1997-2012,147,206,5515,125,30.3,35,5
